Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
499,499,0,0,2847846,-18131797
500,500,0,0,2847846,-18131797
501,501,0,0,2847846,-18131797
502,502,0,0,2867424,-18131797
503,503,0,0,2867424,-23141686
504,504,0,0,2886249,-23141686
505,505,0,0,2886249,-23141686
506,506,0,0,2886249,-23141686
507,507,0,0,2904321,-23141686
508,508,0,1,5029528,-23141686
509,509,0,0,5029528,-23141686
510,510,0,0,5059520,-23141686
511,511,0,0,5059520,-23141686
512,512,0,0,5059520,-23141686
513,513,0,0,5088208,-26248507
514,514,0,0,5088208,-26248507
515,515,0,0,5115592,-26248507
516,516,0,0,5115592,-26248507
517,517,0,0,5115592,-26248507
518,518,0,1,7613933,-26248507
519,519,0,0,7613933,-26248507
520,520,0,0,7613933,-26248507
521,521,0,0,7648691,-26248507
522,522,0,0,7648691,-26248507
523,523,0,0,7683449,-27196794
524,524,0,0,7683449,-27196794
525,525,0,0,7683449,-27196794
526,526,0,0,7714345,-27196794
527,527,0,0,7714345,-27196794
528,528,0,1,10019460,-27196794
529,529,0,0,10057080,-27196794
530,530,0,0,10057080,-27196794
531,531,0,0,10092192,-27196794
532,532,0,0,10092192,-27196794
533,533,0,0,10092192,-25908579
534,534,0,0,10122288,-25908579
535,535,0,0,10122288,-25908579
536,536,0,0,10122288,-25908579
537,537,0,0,10152384,-25908579
538,538,0,1,12046848,-25908579
539,539,0,0,12076608,-25908579
540,540,0,0,12076608,-25908579
541,541,0,0,12076608,-25908579
542,542,0,0,12103392,-25908579
543,543,0,0,12103392,-22489805
544,544,0,0,12103392,-22489805
545,545,0,0,12124224,-22489805
546,546,0,0,12124224,-22489805
547,547,0,0,12124224,-22489805
548,548,0,1,13161225,-22489805
549,549,0,0,13161225,-22489805
550,550,0,0,13177350,-22489805
551,551,0,0,13177350,-22489805
552,552,0,0,13177350,-22489805
553,553,0,0,13190250,-17221614
554,554,0,0,13190250,-17221614
555,555,0,0,13190250,-17221614
556,556,0,0,13199925,-17221614
557,557,0,0,13199925,-17221614
558,558,0,1,13480740,-17221614
559,559,0,0,13480740,-17221614
560,560,0,0,13480740,-17221614
561,561,0,0,13480740,-17221614
562,562,0,0,13480740,-17221614
563,563,0,0,13480740,-10537223
564,564,0,0,13477448,-10537223
565,565,0,0,13477448,-10537223
566,566,0,0,13470864,-10537223
567,567,0,0,13470864,-10537223
568,568,0,1,12779316,-10537223
569,569,0,0,12766824,-10537223
570,570,0,0,12766824,-10537223
571,571,0,0,12766824,-10537223
572,572,0,0,12754332,-10537223
573,573,0,0,12754332,-2986305
574,574,0,0,12735594,-2986305
575,575,0,0,12735594,-2986305
576,576,0,0,12735594,-2986305
577,577,0,0,12713733,-2986305
578,578,0,1,11056836,-2986305
579,579,0,0,11056836,-2986305
580,580,0,0,11032392,-2986305
581,581,0,0,11032392,-2986305
582,582,0,0,11032392,-2986305
583,583,0,0,11007948,4810211
584,584,0,0,11007948,4810211
585,585,0,0,10978072,4810211
586,586,0,0,10978072,4810211
587,587,0,0,10978072,4810211
588,588,0,1,8773310,4810211
589,589,0,0,8773310,4810211
590,590,0,0,8773310,4810211
591,591,0,0,8745009,4810211
592,592,0,0,8745009,4810211
593,593,0,0,8712354,12211195
594,594,0,0,8712354,12211195
595,595,0,0,8712354,12211195
596,596,0,0,8679699,12211195
597,597,0,0,8679699,12211195
598,598,0,1,6247629,12211195
599,599,0,0,6220990,12211195
600,600,0,0,6220990,12211195
601,601,0,0,6192784,12211195
602,602,0,0,6192784,12211195
603,603,0,0,6192784,18608037
604,604,0,0,6163011,18608037
605,605,0,0,6163011,18608037
606,606,0,0,6163011,18608037
607,607,0,0,6131671,18608037
608,608,0,1,3748654,18608037
609,609,0,0,3727578,18608037
610,610,0,0,3727578,18608037
611,611,0,0,3727578,18608037
612,612,0,0,3706502,18608037
613,613,0,0,3706502,23474695
614,614,0,0,3706502,23474695
615,615,0,0,3683510,23474695
616,616,0,0,3683510,23474695
617,617,0,0,3683510,23474695
618,618,0,1,1757660,23474695
619,619,0,0,1757660,23474695
620,620,0,0,1745700,23474695
621,621,0,0,1745700,23474695
622,622,0,0,1745700,23474695
623,623,0,0,1733280,26410949
624,624,0,0,1733280,26410949
625,625,0,0,1733280,26410949
626,626,0,0,1720400,26410949
627,627,0,0,1720400,26410949
628,628,0,1,590049,26410949
629,629,0,0,590049,26410949
630,630,0,0,590049,26410949
631,631,0,0,585279,26410949
632,632,0,0,585279,26410949
633,633,0,0,585279,27175315
634,634,0,0,580509,27175315
635,635,0,0,580509,27175315
636,636,0,0,575421,27175315
637,637,0,0,575421,27175315
638,638,0,1,126665,27175315
639,639,0,0,125510,27175315
640,640,0,0,125510,27175315
641,641,0,0,125510,27175315
642,642,0,0,124320,27175315
643,643,0,0,124320,25704906
644,644,0,0,124320,25704906
645,645,0,0,123095,25704906
646,646,0,0,123095,25704906
647,647,0,0,121870,25704906
648,648,0,1,452660,25704906
649,649,0,0,452660,25704906
650,650,0,0,447850,25704906
651,651,0,0,447850,25704906
652,652,0,0,447850,25704906
653,653,0,0,443040,22120612
654,654,0,0,443040,22120612
655,655,0,0,438100,22120612
656,656,0,0,438100,22120612
657,657,0,0,438100,22120612
658,658,0,1,1605542,22120612
659,659,0,0,1605542,22120612
660,660,0,0,1605542,22120612
661,661,0,0,1586262,22120612
662,662,0,0,1586262,22120612
663,663,0,0,1566982,16717160
664,664,0,0,1566982,16717160
665,665,0,0,1566982,16717160
666,666,0,0,1547220,16717160
667,667,0,0,1547220,16717160
668,668,0,1,3136170,16717160
669,669,0,0,3095136,16717160
670,670,0,0,3095136,16717160
671,671,0,0,3053125,16717160
672,672,0,0,3053125,16717160
673,673,0,0,3053125,9938882
674,674,0,0,3011114,9938882
675,675,0,0,3011114,9938882
676,676,0,0,3011114,9938882
677,677,0,0,2968126,9938882
678,678,0,1,4751432,9938882
679,679,0,0,4751432,9938882
680,680,0,0,4682616,9938882
681,681,0,0,4682616,9938882
682,682,0,0,4612236,9938882
683,683,0,0,4612236,2343180
684,684,0,0,4612236,2343180
685,685,0,0,4540292,2343180
686,686,0,0,4540292,2343180
687,687,0,0,4540292,2343180
688,688,0,1,6216832,2343180
689,689,0,0,6216832,2343180
690,690,0,0,6116736,2343180
691,691,0,0,6116736,2343180
692,692,0,0,6116736,2343180
693,693,0,0,6014464,-5445306
694,694,0,0,6014464,-5445306
695,695,0,0,6014464,-5445306
696,696,0,0,5910016,-5445306
697,697,0,0,5910016,-5445306
698,698,0,1,7248956,-5445306
699,699,0,0,7248956,-5445306
700,700,0,0,7248956,-5445306
701,701,0,0,7118540,-5445306
702,702,0,0,7118540,-5445306
703,703,0,0,7118540,-12786069
704,704,0,0,6985407,-12786069
705,705,0,0,6985407,-12786069
706,706,0,0,6852274,-12786069
707,707,0,0,6852274,-12786069
708,708,0,1,7863596,-12786069
709,709,0,0,7710814,-12786069
710,710,0,0,7710814,-12786069
711,711,0,0,7710814,-12786069
712,712,0,0,7558032,-12786069
713,713,0,0,7558032,-19075410
714,714,0,0,7558032,-19075410
715,715,0,0,7402132,-19075410
716,716,0,0,7402132,-19075410
717,717,0,0,7246232,-19075410
718,718,0,1,7611100,-19075410
719,719,0,0,7611100,-19075410
720,720,0,0,7447350,-19075410
721,721,0,0,7447350,-19075410
722,722,0,0,7447350,-19075410
723,723,0,0,7283600,-23796084
724,724,0,0,7283600,-23796084
725,725,0,0,7119850,-23796084
726,726,0,0,7119850,-23796084
727,727,0,0,7119850,-23796084
728,728,0,1,6814830,-23796084
729,729,0,0,6814830,-23796084
730,730,0,0,6814830,-23796084
731,731,0,0,6654330,-23796084
732,732,0,0,6654330,-23796084
733,733,0,0,6490620,-26559841
734,734,0,0,6490620,-26559841
735,735,0,0,6490620,-26559841
736,736,0,0,6330120,-26559841
737,737,0,0,6330120,-26559841
738,738,0,1,5862756,-26559841
739,739,0,0,5711133,-26559841
